Player,Team,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FGA,FTA,TOV,FG%,3P%,eFG%,FT%,W,L,PS/G,PA/G
Ayo Dosunmu,CHI,25.0,N/A,20,27.8,15.2,2.7,3.2,0.6,0.3,10.5,2.8,1.4,0.519,0.475,0.6142857142857143,0.857,8,12,117.3,122.6
Bam Adebayo,MIA,28.0,N/A,19,30.8,19.2,8.9,2.5,1.0,0.9,14.4,4.6,1.7,0.478,0.34,0.5381944444444444,0.795,10,9,121.7,118.2
Baylor Scheierman,BOS,25.0,N/A,20,12.1,3.4,2.0,0.8,0.5,0.1,2.3,0.1,0.4,0.556,0.486,0.7608695652173914,1.0,14,6,117.3,110.6
Ben Saraf,BKN,19.0,N/A,12,16.9,5.4,1.6,2.8,0.7,0.3,5.2,1.3,1.9,0.355,0.273,0.4230769230769231,0.8,3,9,109.4,117.2
Ben Sheppard,IND,24.0,N/A,22,24.9,6.5,4.1,2.0,0.6,0.1,6.7,0.9,0.7,0.354,0.273,0.44029850746268656,0.789,4,18,111.3,118.89999999999999
Bennedict Mathurin,IND,23.0,N/A,13,32.9,21.5,5.6,2.3,0.8,0.2,14.4,6.5,2.9,0.46,0.43,0.5555555555555556,0.833,5,8,111.3,118.89999999999999
Bilal Coulibaly,WAS,21.0,N/A,12,27.1,8.8,4.0,3.0,1.3,1.0,7.6,2.9,1.8,0.374,0.268,0.4276315789473684,0.771,2,10,112.4,128.3
Bismack Biyombo,SAS,33.0,N/A,8,7.2,0.9,0.8,0.4,0.4,0.1,0.5,0.3,0.4,0.75,0.0,0.8,0.5,5,3,119.6,115.3
Blake Wesley,POR,22.0,N/A,6,16.3,6.0,2.3,3.2,1.7,0.2,5.7,1.7,1.2,0.412,0.2,0.4298245614035087,0.6,4,2,117.4,120.7
Bobby Portis,MIL,30.0,N/A,25,21.7,11.4,5.6,1.4,0.4,0.1,9.8,0.9,1.1,0.467,0.447,0.5561224489795917,0.609,10,15,115.1,118.0
Bobi Klintman,DET,22.0,N/A,6,8.8,2.8,2.7,0.7,0.3,0.0,3.5,0.5,0.8,0.333,0.273,0.41428571428571426,0.0,5,1,118.7,113.2
Bogdan Bogdanović,LAC,33.0,N/A,10,25.4,9.2,3.2,3.2,0.7,0.1,8.2,1.3,1.3,0.39,0.333,0.49390243902439024,0.846,2,8,111.6,116.8
Bones Hyland,MIN,25.0,N/A,15,9.0,4.3,1.1,1.4,0.5,0.0,3.3,0.3,0.8,0.51,0.387,0.6363636363636365,0.75,10,5,119.6,114.69999999999999
Bradley Beal,LAC,32.0,N/A,6,20.2,8.2,0.8,1.7,0.5,0.0,8.0,1.3,1.5,0.375,0.368,0.45,0.75,2,4,111.6,116.8
Branden Carlson,OKC,26.0,N/A,16,9.9,4.6,2.2,0.7,0.1,0.6,3.6,0.4,0.3,0.526,0.379,0.625,0.429,15,1,123.0,106.8
Brandin Podziemski,GSW,22.0,N/A,25,27.7,12.5,4.7,3.0,1.2,0.2,9.9,2.4,1.5,0.441,0.398,0.5454545454545455,0.767,13,12,113.5,111.7
Brandon Ingram,TOR,28.0,N/A,26,34.1,21.5,5.8,3.8,0.9,0.5,17.0,4.9,3.1,0.472,0.331,0.5147058823529411,0.805,15,11,115.8,113.89999999999999
Brandon Miller,CHA,23.0,N/A,8,26.1,16.4,2.5,3.1,0.8,1.1,15.0,3.8,2.3,0.367,0.286,0.44333333333333336,0.833,4,4,114.2,118.3
Brandon Williams,DAL,26.0,N/A,23,21.6,10.8,2.4,4.1,1.4,0.2,9.6,3.5,1.8,0.391,0.191,0.4166666666666667,0.8,8,15,111.8,116.1
Brice Sensabaugh,UTA,22.0,N/A,22,15.6,8.6,2.5,1.1,0.7,0.2,7.1,1.5,0.9,0.408,0.337,0.5140845070422535,0.848,7,15,117.6,125.8
Bronny James,LAL,21.0,N/A,13,9.5,2.0,0.7,1.6,0.7,0.1,2.4,0.2,0.8,0.323,0.286,0.39583333333333337,1.0,8,5,118.3,116.1
Brook Lopez,LAC,37.0,N/A,18,14.1,6.1,1.8,0.5,0.3,0.8,5.5,0.6,0.8,0.394,0.353,0.5181818181818182,0.727,5,13,111.6,116.8
Brooks Barnhizer,OKC,23.0,N/A,17,7.7,1.7,1.9,0.4,0.2,0.1,1.4,0.4,0.2,0.522,0.25,0.5357142857142857,0.667,16,1,123.0,106.8
Bruce Brown,DEN,29.0,N/A,23,23.5,6.7,3.6,1.8,0.8,0.3,6.0,1.4,0.9,0.423,0.333,0.4666666666666666,0.781,17,6,125.0,116.3
Bryce McGowens,NOP,23.0,N/A,15,17.4,7.8,1.8,1.5,0.4,0.3,5.3,2.5,0.3,0.494,0.435,0.5566037735849058,0.763,1,14,113.0,123.6
Bub Carrington,WAS,20.0,N/A,22,25.7,7.0,3.4,4.2,0.5,0.1,6.8,1.0,2.2,0.349,0.429,0.4632352941176471,0.762,3,19,112.4,128.3
Buddy Hield,GSW,32.0,N/A,25,18.8,8.0,2.6,1.6,0.9,0.1,7.3,0.7,1.0,0.404,0.305,0.5068493150684932,0.944,13,12,113.5,111.7
CJ McCollum,WAS,34.0,N/A,22,30.0,18.6,3.0,3.4,0.7,0.3,15.0,2.9,1.6,0.442,0.402,0.5399999999999999,0.797,3,19,112.4,128.3
Cade Cunningham,DET,24.0,N/A,21,36.4,27.5,6.4,9.3,1.5,0.8,21.0,7.8,3.9,0.452,0.299,0.49761904761904757,0.84,16,5,118.7,113.2
Caleb Houstan,ATL,22.0,N/A,8,5.4,2.5,0.6,0.3,0.1,0.1,1.6,0.4,0.5,0.462,0.5,0.6875,1.0,5,3,118.0,116.4
Caleb Love,POR,24.0,N/A,16,18.0,8.0,2.8,1.9,0.4,0.0,9.0,0.9,0.8,0.326,0.261,0.39999999999999997,0.786,5,11,117.4,120.7
Caleb Martin,DAL,30.0,N/A,22,9.1,1.2,1.5,0.9,0.5,0.1,1.7,0.4,0.4,0.243,0.154,0.2647058823529412,0.875,8,14,111.8,116.1
Cam Christie,LAC,20.0,N/A,16,11.5,4.4,2.3,0.6,0.4,0.1,3.8,1.8,0.4,0.344,0.31,0.4210526315789474,0.714,3,13,111.6,116.8
Cam Spencer,MEM,25.0,N/A,24,21.2,11.1,2.1,3.9,0.8,0.1,7.5,1.8,1.3,0.486,0.465,0.6266666666666667,0.907,11,13,113.6,115.3
Cam Thomas,BKN,24.0,N/A,8,28.3,21.4,1.4,2.6,0.5,0.1,16.5,7.0,2.0,0.402,0.356,0.4606060606060606,0.875,1,7,109.4,117.2
Cam Whitmore,WAS,21.0,N/A,21,16.9,9.2,2.8,0.7,0.7,0.4,8.0,1.5,0.9,0.456,0.286,0.5125000000000001,0.742,3,18,112.4,128.3
Cameron Johnson,DEN,29.0,N/A,22,30.0,11.1,3.4,2.3,0.7,0.3,8.5,2.0,1.1,0.452,0.394,0.5647058823529412,0.8,16,6,125.0,116.3
Caris LeVert,DET,31.0,N/A,18,20.4,9.3,1.7,2.8,0.6,0.5,6.9,2.4,1.4,0.464,0.419,0.5652173913043479,0.605,14,4,118.7,113.2
Carter Bryant,SAS,20.0,N/A,18,7.9,2.5,1.7,0.1,0.2,0.1,2.8,0.2,0.3,0.333,0.286,0.3928571428571429,0.75,14,4,119.6,115.3
Cason Wallace,OKC,22.0,N/A,23,28.1,8.4,3.0,2.5,2.3,0.3,7.4,0.6,1.1,0.435,0.379,0.5405405405405405,0.769,22,1,123.0,106.8
Cedric Coward,MEM,22.0,N/A,24,27.1,13.3,6.2,2.7,0.6,0.3,10.5,2.8,1.5,0.451,0.318,0.5285714285714286,0.838,11,13,113.6,115.3
Charles Bassey,MEM,25.0,N/A,2,15.3,3.5,7.5,1.0,0.5,0.5,4.0,1.5,0.5,0.375,0.0,0.375,0.333,0,2,113.6,115.3
Chaz Lanier,DET,23.0,N/A,13,10.3,3.3,1.1,0.8,0.3,0.0,3.2,0.2,0.1,0.333,0.324,0.484375,1.0,12,1,118.7,113.2
Chet Holmgren,OKC,23.0,N/A,20,28.9,18.6,8.1,1.7,0.7,1.5,12.4,3.8,2.1,0.575,0.364,0.6290322580645161,0.787,20,0,123.0,106.8
Chris Boucher,BOS,32.0,N/A,8,11.3,2.3,2.3,0.4,0.6,0.9,2.8,0.5,0.1,0.318,0.083,0.33928571428571436,0.75,3,5,117.3,110.6
Chris Livingston,CLE,22.0,N/A,3,5.8,3.0,1.0,0.3,0.3,0.0,2.3,0.3,0.0,0.571,0.0,0.5652173913043479,1.0,2,1,118.6,115.39999999999999
Chris Mañon,LAL,24.0,N/A,2,3.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,118.3,116.1
Chris Paul,LAC,40.0,N/A,16,14.2,2.9,1.8,3.3,0.7,0.0,3.5,0.1,1.0,0.321,0.333,0.4,0.5,4,12,111.6,116.8
Chris Youngblood,OKC,23.0,N/A,18,5.4,1.8,1.0,0.3,0.1,0.0,1.5,0.4,0.1,0.333,0.318,0.4666666666666666,1.0,18,0,123.0,106.8
Christian Braun,DEN,24.0,N/A,11,29.6,11.4,4.4,3.0,0.8,0.3,8.8,2.6,1.3,0.495,0.214,0.5284090909090909,0.793,9,2,125.0,116.3
Christian Koloko,LAL,25.0,N/A,2,3.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,118.3,116.1
Chucky Hepburn,TOR,22.0,N/A,2,6.6,0.0,0.5,1.0,0.5,0.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0,2,115.8,113.89999999999999
Clint Capela,HOU,31.0,N/A,20,11.9,3.8,4.9,0.5,0.5,0.8,3.0,0.8,0.5,0.559,0.0,0.5666666666666667,0.667,14,6,120.9,110.30000000000001
Coby White,CHI,25.0,N/A,7,29.2,22.1,2.7,5.4,0.6,0.0,15.6,8.0,3.0,0.431,0.302,0.5032051282051282,0.804,2,5,117.3,122.6
Cody Martin,IND,30.0,N/A,4,13.8,1.8,3.5,0.5,1.0,0.5,2.5,1.5,1.0,0.2,0.0,0.2,0.5,0,4,111.3,118.89999999999999
Cody Williams,UTA,21.0,N/A,13,12.1,2.2,0.9,0.5,0.2,0.2,3.1,0.2,0.4,0.325,0.105,0.3548387096774194,0.333,4,9,117.6,125.8
Colby Jones,DET,23.0,N/A,1,6.8,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.333,0.0,0.3333333333333333,0.0,0,1,118.7,113.2
Cole Anthony,MIL,25.0,N/A,23,15.7,7.0,2.7,4.0,0.7,0.3,7.0,0.9,1.9,0.426,0.271,0.4714285714285714,0.55,9,14,115.1,118.0
Collin Gillespie,PHX,26.0,N/A,24,27.1,13.6,3.8,4.8,1.1,0.3,10.8,1.3,1.8,0.44,0.429,0.5833333333333333,0.867,14,10,115.9,113.5
Collin Murray-Boyles,TOR,20.0,N/A,21,17.6,7.0,3.3,1.3,0.6,0.3,4.9,1.5,1.2,0.553,0.48,0.6122448979591836,0.625,11,10,115.8,113.89999999999999
Collin Sexton,CHA,26.0,N/A,21,25.2,15.5,2.2,4.2,0.7,0.2,10.7,4.3,2.5,0.489,0.366,0.5420560747663552,0.879,6,15,114.2,118.3
Cooper Flagg,DAL,18.0,N/A,24,33.7,17.3,6.3,3.3,1.3,0.7,14.0,3.8,2.2,0.475,0.253,0.5107142857142858,0.822,9,15,111.8,116.1
Corey Kispert,WAS,26.0,N/A,17,19.9,8.9,2.5,1.7,0.5,0.2,6.1,1.7,0.6,0.505,0.403,0.639344262295082,0.724,2,15,112.4,128.3
Craig Porter Jr.,CLE,25.0,N/A,22,17.2,5.4,3.2,2.3,1.0,0.6,4.3,0.7,0.7,0.511,0.424,0.5813953488372093,0.533,13,9,118.6,115.39999999999999
Curtis Jones,DEN,24.0,N/A,2,1.6,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.333,0.0,0.3333333333333333,0.0,2,0,125.0,116.3
D'Angelo Russell,DAL,29.0,N/A,21,20.3,11.2,2.6,4.3,0.4,0.1,9.8,2.8,2.1,0.403,0.287,0.47959183673469385,0.707,7,14,111.8,116.1
DaRon Holmes II,DEN,23.0,N/A,2,2.2,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.5,0.0,2,0,125.0,116.3
Daeqwon Plowden,SAC,27.0,N/A,1,14.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.2,0.0,0.2,0.0,0,1,111.4,122.0
