Player,Team,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FGA,FTA,TOV,FG%,3P%,eFG%,FT%,W,L,PS/G,PA/G
Emanuel Miller,CHI,25.0,N/A,5,6.6,3.0,0.6,0.8,0.4,0.0,2.6,0.4,0.0,0.462,0.333,0.5384615384615384,0.5,0,5,117.3,122.6
Eric Gordon,PHI,36.0,N/A,5,11.3,4.2,0.4,0.6,0.6,0.0,2.6,0.0,0.6,0.615,0.625,0.8076923076923077,0.0,3,2,116.9,116.10000000000001
Ethan Thompson,IND,26.0,N/A,4,18.1,4.8,1.8,1.0,0.8,0.5,3.0,0.0,0.0,0.583,0.556,0.8166666666666668,0.0,2,2,111.3,118.89999999999999
Evan Mobley,CLE,24.0,N/A,24,34.1,18.9,9.1,4.0,1.0,1.7,14.0,5.4,2.3,0.5,0.353,0.5535714285714286,0.631,13,11,118.6,115.39999999999999
Franz Wagner,ORL,24.0,N/A,24,33.4,22.7,6.1,3.7,1.2,0.4,15.9,6.8,1.8,0.49,0.36,0.5377358490566038,0.823,14,10,117.8,113.39999999999999
GG Jackson,MEM,20.0,N/A,8,6.8,2.5,1.8,0.3,0.5,0.1,3.5,1.1,0.3,0.25,0.0,0.2571428571428572,0.667,4,4,113.6,115.3
Gabe Vincent,LAL,29.0,N/A,12,22.3,5.1,1.0,1.7,0.5,0.1,4.5,0.6,0.5,0.352,0.372,0.5,1.0,9,3,118.3,116.1
Garrett Temple,TOR,39.0,N/A,5,3.7,0.8,0.4,0.2,0.4,0.2,0.8,0.4,0.2,0.25,0.333,0.37500000000000006,0.5,3,2,115.8,113.89999999999999
Garrison Mathews,IND,29.0,N/A,9,13.7,4.8,0.9,0.6,0.3,0.2,3.4,1.7,0.3,0.355,0.321,0.5,0.8,4,5,111.3,118.89999999999999
Gary Harris,MIL,31.0,N/A,16,13.3,2.3,1.4,1.2,0.8,0.1,1.9,0.3,0.5,0.433,0.375,0.5263157894736842,1.0,5,11,115.1,118.0
Gary Payton II,GSW,33.0,N/A,24,12.3,4.0,3.0,1.6,0.6,0.3,3.8,0.1,0.7,0.478,0.276,0.5131578947368421,1.0,12,12,113.5,111.7
Gary Trent Jr.,MIL,26.0,N/A,25,27.7,9.6,1.3,1.8,0.8,0.1,8.4,1.2,0.8,0.392,0.365,0.5238095238095238,0.793,10,15,115.1,118.0
Giannis Antetokounmpo,MIL,31.0,N/A,17,29.1,28.9,10.1,6.1,0.9,0.9,17.3,9.8,3.3,0.639,0.435,0.6589595375722543,0.635,9,8,115.1,118.0
Goga Bitadze,ORL,26.0,N/A,24,16.9,6.3,5.2,1.4,0.6,1.3,3.4,1.6,0.7,0.732,0.286,0.75,0.789,15,9,117.8,113.39999999999999
Gradey Dick,TOR,22.0,N/A,26,15.8,6.3,1.9,0.7,0.6,0.1,5.2,1.5,0.5,0.403,0.315,0.4903846153846154,0.842,15,11,115.8,113.89999999999999
Grayson Allen,PHX,30.0,N/A,16,31.4,16.9,2.9,3.9,1.6,0.3,13.3,2.4,1.8,0.439,0.404,0.5639097744360902,0.769,9,7,115.9,113.5
Guerschon Yabusele,NYK,29.0,N/A,23,10.0,3.1,2.2,0.4,0.1,0.2,2.8,0.4,0.3,0.4,0.295,0.5000000000000001,0.6,17,6,120.5,111.9
Gui Santos,GSW,23.0,N/A,18,9.3,3.4,1.9,0.6,0.3,0.1,3.0,0.8,0.8,0.389,0.273,0.48333333333333334,0.714,9,9,113.5,111.7
Harrison Barnes,SAS,33.0,N/A,23,31.1,13.4,3.4,2.2,1.0,0.2,9.5,1.8,1.3,0.493,0.433,0.6210526315789474,0.881,16,7,119.6,115.3
Harrison Ingram,SAS,23.0,N/A,3,3.6,1.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.667,1.0,0.85,0.0,2,1,119.6,115.3
Herbert Jones,NOP,27.0,N/A,17,30.0,9.9,3.9,2.4,1.6,0.3,8.9,1.6,1.5,0.404,0.347,0.48876404494382014,0.786,2,15,113.0,123.6
Hugo González,BOS,19.0,N/A,19,11.3,3.4,2.0,0.5,0.7,0.2,2.7,0.3,0.6,0.519,0.474,0.611111111111111,0.4,12,7,117.3,110.6
Hunter Dickinson,NOP,25.0,N/A,1,4.7,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.5,0.0,0.5,0.0,0,1,113.0,123.6
Hunter Sallis,PHI,22.0,N/A,6,4.2,1.2,0.2,0.7,0.0,0.2,0.8,0.3,0.8,0.6,0.0,0.625,0.5,3,3,116.9,116.10000000000001
Hunter Tyson,DEN,25.0,N/A,8,3.5,0.3,1.5,0.4,0.1,0.0,1.1,0.3,0.0,0.0,0.0,0.0,1.0,7,1,125.0,116.3
Immanuel Quickley,TOR,26.0,N/A,25,32.2,16.5,4.2,6.2,1.2,0.0,12.8,2.6,1.8,0.47,0.382,0.56640625,0.75,15,10,115.8,113.89999999999999
Isaac Jones,DET,25.0,N/A,4,4.6,1.3,0.5,0.3,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,2,2,118.7,113.2
Isaac Okoro,CHI,24.0,N/A,15,24.8,8.2,2.7,1.6,0.4,0.7,6.5,1.3,1.0,0.459,0.383,0.5538461538461539,0.75,8,7,117.3,122.6
Isaiah Collier,UTA,21.0,N/A,15,20.4,7.4,1.9,5.1,0.5,0.3,4.7,3.1,2.1,0.514,0.385,0.5425531914893617,0.723,5,10,117.6,125.8
Isaiah Crawford,HOU,24.0,N/A,2,2.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,120.9,110.30000000000001
Isaiah Hartenstein,OKC,27.0,N/A,19,27.8,12.2,10.7,3.4,1.3,0.8,7.8,2.6,2.1,0.671,0.0,0.6794871794871795,0.64,18,1,123.0,106.8
Isaiah Jackson,IND,23.0,N/A,24,18.9,7.8,5.6,0.8,0.9,0.8,5.0,2.3,1.2,0.605,0.0,0.6,0.778,6,18,111.3,118.89999999999999
Isaiah Joe,OKC,26.0,N/A,17,23.3,12.9,2.8,1.5,0.6,0.2,8.6,2.3,0.9,0.456,0.419,0.622093023255814,0.923,16,1,123.0,106.8
Isaiah Livers,PHX,27.0,N/A,13,12.1,2.5,2.2,0.4,0.5,0.4,2.2,0.5,0.4,0.345,0.292,0.47727272727272724,0.833,7,6,115.9,113.5
Isaiah Stewart,DET,24.0,N/A,21,22.5,10.0,6.0,1.1,0.2,2.0,7.0,2.1,1.2,0.534,0.412,0.6142857142857142,0.727,16,5,118.7,113.2
Ivica Zubac,LAC,28.0,N/A,24,32.7,15.9,11.6,2.6,0.5,0.9,11.8,2.6,2.0,0.599,0.0,0.5932203389830508,0.71,6,18,111.6,116.8
JD Davison,HOU,23.0,N/A,11,6.7,1.8,0.4,0.9,0.3,0.1,1.5,0.2,0.1,0.471,0.444,0.6,0.0,10,1,120.9,110.30000000000001
Ja Morant,MEM,26.0,N/A,12,28.8,17.9,3.5,7.6,1.0,0.1,16.3,5.8,3.8,0.359,0.167,0.38036809815950917,0.942,4,8,113.6,115.3
Ja'Kobe Walter,TOR,21.0,N/A,23,16.6,5.5,2.0,0.8,1.0,0.1,4.6,0.7,0.7,0.419,0.397,0.5434782608695653,0.75,14,9,115.8,113.89999999999999
Jabari Smith Jr.,HOU,22.0,N/A,20,33.4,15.3,6.4,1.9,0.8,0.8,12.0,3.0,1.2,0.456,0.364,0.5416666666666666,0.783,14,6,120.9,110.30000000000001
Jabari Walker,PHI,23.0,N/A,22,13.7,4.6,3.5,0.6,0.1,0.3,3.7,0.8,0.5,0.463,0.343,0.527027027027027,0.765,13,9,116.9,116.10000000000001
Jacob Toppin,ATL,25.0,N/A,5,3.4,1.6,0.2,0.2,0.0,0.2,1.2,0.0,0.0,0.667,0.0,0.6666666666666667,0.0,3,2,118.0,116.4
Jaden Hardy,DAL,23.0,N/A,20,10.5,6.0,1.2,0.5,0.2,0.1,4.8,1.1,0.8,0.4,0.417,0.53125,0.818,6,14,111.8,116.1
Jaden Ivey,DET,23.0,N/A,9,13.9,7.6,2.7,1.1,0.2,0.1,5.7,1.8,1.1,0.431,0.417,0.5175438596491229,0.875,6,3,118.7,113.2
Jaden McDaniels,MIN,25.0,N/A,23,32.5,15.5,4.7,2.5,1.2,1.0,11.4,2.3,1.8,0.525,0.456,0.5964912280701754,0.849,14,9,119.6,114.69999999999999
Jae'Sean Tate,HOU,30.0,N/A,14,8.3,2.9,1.6,0.5,0.3,0.0,2.3,0.1,0.3,0.531,0.417,0.6086956521739131,1.0,11,3,120.9,110.30000000000001
Jahmai Mashack,MEM,23.0,N/A,2,4.7,3.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.4,0.5,0.6,0.0,2,0,113.6,115.3
Jahmir Young,MIA,25.0,N/A,5,4.9,2.0,0.4,0.8,0.2,0.0,2.2,0.0,0.4,0.364,0.4,0.45454545454545453,0.0,4,1,121.7,118.2
Jahmyl Telfort,LAC,24.0,N/A,8,4.0,0.1,0.4,0.1,0.1,0.0,0.5,0.5,0.1,0.0,0.0,0.0,0.25,2,6,111.6,116.8
Jaime Jaquez Jr.,MIA,24.0,N/A,24,29.2,15.6,5.8,5.0,0.7,0.3,12.2,3.6,2.1,0.512,0.222,0.528688524590164,0.767,14,10,121.7,118.2
Jake LaRavia,LAL,24.0,N/A,23,25.2,8.9,3.8,1.8,1.2,0.3,7.0,2.0,1.1,0.463,0.333,0.5428571428571428,0.689,17,6,118.3,116.1
Jakob Poeltl,TOR,30.0,N/A,19,26.1,10.2,8.0,2.3,0.8,0.5,6.3,2.5,1.5,0.692,0.0,0.6984126984126985,0.596,12,7,115.8,113.89999999999999
Jalen Brunson,NYK,29.0,N/A,22,34.9,28.3,3.1,6.3,0.7,0.1,20.7,6.6,2.3,0.48,0.376,0.5507246376811594,0.848,16,6,120.5,111.9
Jalen Duren,DET,22.0,N/A,21,29.2,18.8,11.5,1.8,0.8,1.0,10.5,6.8,2.6,0.655,0.0,0.6571428571428571,0.754,16,5,118.7,113.2
Jalen Green,PHX,23.0,N/A,2,14.9,15.5,2.0,2.0,1.0,0.0,11.5,2.5,1.0,0.478,0.429,0.6086956521739131,0.6,2,0,115.9,113.5
Jalen Johnson,ATL,23.0,N/A,22,35.2,23.4,10.5,7.9,1.6,0.4,15.8,6.0,3.3,0.534,0.404,0.5886075949367089,0.805,13,9,118.0,116.4
Jalen Pickett,DEN,26.0,N/A,10,7.2,2.3,1.1,1.0,0.1,0.0,1.9,0.1,0.4,0.474,0.4,0.5789473684210527,1.0,9,1,125.0,116.3
Jalen Smith,CHI,25.0,N/A,18,17.1,10.0,5.8,1.2,0.3,0.7,7.7,1.3,1.0,0.486,0.377,0.5844155844155844,0.739,9,9,117.3,122.6
Jalen Suggs,ORL,24.0,N/A,20,25.4,14.9,3.8,4.7,2.0,0.6,11.2,3.0,2.8,0.46,0.333,0.5535714285714286,0.881,13,7,117.8,113.39999999999999
Jalen Williams,OKC,24.0,N/A,5,29.1,17.8,5.2,6.4,1.2,1.0,15.2,3.2,1.2,0.461,0.273,0.48026315789473684,1.0,5,0,123.0,106.8
Jalen Wilson,BKN,25.0,N/A,18,14.4,5.0,1.0,0.6,0.2,0.0,4.4,1.2,0.6,0.354,0.333,0.47727272727272724,0.762,3,15,109.4,117.2
Jamal Cain,ORL,26.0,N/A,5,6.3,1.6,0.8,0.4,0.2,0.2,1.6,0.4,0.4,0.375,0.2,0.43749999999999994,0.5,4,1,117.8,113.39999999999999
Jamal Murray,DEN,28.0,N/A,22,35.1,25.0,4.5,6.8,1.1,0.3,18.0,4.0,2.4,0.506,0.447,0.5972222222222222,0.898,16,6,125.0,116.3
Jamal Shead,TOR,23.0,N/A,26,19.8,6.3,1.8,5.2,1.2,0.1,5.5,1.7,1.2,0.366,0.338,0.45454545454545453,0.791,15,11,115.8,113.89999999999999
Jamaree Bouyea,PHX,26.0,N/A,8,13.4,7.4,1.1,1.4,0.6,0.3,4.5,0.5,0.1,0.639,0.625,0.7888888888888889,0.75,4,4,115.9,113.5
James Harden,LAC,36.0,N/A,23,35.3,26.8,5.4,8.3,1.2,0.4,17.5,8.7,4.0,0.443,0.367,0.5399999999999999,0.899,6,17,111.6,116.8
James Wiseman,IND,24.0,N/A,1,19.9,4.0,4.0,0.0,0.0,1.0,3.0,0.0,3.0,0.667,0.0,0.6666666666666666,0.0,0,1,111.3,118.89999999999999
Jamir Watkins,WAS,24.0,N/A,7,9.6,2.1,1.6,0.4,0.0,0.1,1.6,0.6,0.1,0.455,0.2,0.46875,1.0,1,6,112.4,128.3
Jamison Battle,TOR,24.0,N/A,17,8.1,3.9,1.4,0.2,0.1,0.1,2.2,0.3,0.4,0.676,0.591,0.8636363636363635,0.8,11,6,115.8,113.89999999999999
Jarace Walker,IND,22.0,N/A,24,26.1,9.8,4.9,2.2,0.6,0.4,9.1,2.5,2.0,0.349,0.313,0.4340659340659341,0.817,6,18,111.3,118.89999999999999
Jared McCain,PHI,21.0,N/A,14,18.0,7.5,1.9,1.7,0.8,0.0,7.5,0.4,0.9,0.381,0.357,0.4799999999999999,0.833,7,7,116.9,116.10000000000001
Jaren Jackson Jr.,MEM,26.0,N/A,22,29.3,17.0,5.0,1.9,0.8,1.0,13.4,3.8,2.0,0.464,0.333,0.5186567164179104,0.786,9,13,113.6,115.3
Jarred Vanderbilt,LAL,26.0,N/A,15,17.3,4.3,5.2,1.5,0.9,0.3,3.4,1.3,1.5,0.431,0.267,0.4852941176470588,0.842,11,4,118.3,116.1
Jarrett Allen,CLE,27.0,N/A,15,26.1,14.3,7.6,1.8,1.0,0.9,9.5,4.4,1.6,0.573,0.0,0.5789473684210527,0.773,9,6,118.6,115.39999999999999
Jase Richardson,ORL,20.0,N/A,14,6.7,3.4,0.9,0.9,0.2,0.0,2.4,0.6,0.3,0.5,0.429,0.5833333333333334,0.778,7,7,117.8,113.39999999999999
Javon Small,MEM,22.0,N/A,8,12.4,4.3,1.0,2.8,0.0,0.1,3.5,1.3,1.0,0.357,0.316,0.48571428571428577,0.8,4,4,113.6,115.3
Javonte Cooke,POR,26.0,N/A,4,6.7,1.8,0.5,1.0,0.3,0.0,2.8,0.0,0.8,0.273,0.2,0.33928571428571436,0.0,1,3,117.4,120.7
Javonte Green,DET,32.0,N/A,24,18.5,6.6,2.7,0.8,1.0,0.4,5.2,1.7,0.8,0.427,0.339,0.5096153846153847,0.775,19,5,118.7,113.2
Jaxson Hayes,LAL,25.0,N/A,20,17.1,5.4,4.0,1.0,0.4,0.8,3.1,1.5,0.5,0.721,1.0,0.7258064516129032,0.621,15,5,118.3,116.1
Jay Huff,IND,28.0,N/A,24,18.8,7.7,3.7,1.3,0.3,2.5,6.2,1.3,0.7,0.43,0.317,0.5403225806451613,0.781,6,18,111.3,118.89999999999999
Jaylen Brown,BOS,29.0,N/A,23,33.7,29.1,6.2,4.9,1.1,0.4,21.6,7.1,3.6,0.496,0.363,0.5439814814814814,0.785,14,9,117.3,110.6
Jaylen Clark,MIN,24.0,N/A,22,14.7,4.8,2.3,0.5,0.8,0.1,3.8,1.3,0.3,0.434,0.349,0.5131578947368421,0.643,15,7,119.6,114.69999999999999
Jaylen Wells,MEM,22.0,N/A,24,26.5,12.2,3.5,1.7,0.7,0.0,9.4,2.6,0.7,0.442,0.367,0.5425531914893618,0.762,11,13,113.6,115.3
Jaylin Williams,OKC,23.0,N/A,23,18.5,5.6,4.7,2.4,0.7,0.5,5.0,1.2,1.1,0.353,0.296,0.49000000000000005,0.643,22,1,123.0,106.8
Jaylon Tyson,CLE,23.0,N/A,20,27.7,13.0,5.4,1.9,1.1,0.7,9.5,1.2,1.0,0.529,0.467,0.6421052631578947,0.708,11,9,118.6,115.39999999999999
Jeff Green,HOU,39.0,N/A,10,4.8,2.1,0.4,0.1,0.0,0.1,1.6,0.0,0.0,0.5,0.417,0.65625,0.0,9,1,120.9,110.30000000000001
Jerami Grant,POR,31.0,N/A,23,29.7,19.5,3.9,2.7,0.8,0.6,13.0,6.7,2.0,0.438,0.394,0.5269230769230769,0.857,9,14,117.4,120.7
Jeremiah Fears,NOP,19.0,N/A,25,27.7,15.4,3.4,3.1,1.4,0.2,13.1,3.4,2.2,0.436,0.369,0.48091603053435117,0.798,3,22,113.0,123.6
Jeremiah Robinson-Earl,IND,25.0,N/A,17,17.6,4.6,5.2,0.7,0.4,0.1,4.9,0.8,0.6,0.349,0.242,0.39795918367346933,0.929,4,13,111.3,118.89999999999999
Jeremy Sochan,SAS,22.0,N/A,17,16.3,6.1,3.6,1.4,0.5,0.2,5.0,0.9,0.9,0.506,0.28,0.54,0.688,11,6,119.6,115.3
Jericho Sims,MIL,27.0,N/A,19,14.3,2.7,3.7,0.7,0.2,0.3,1.4,0.4,0.7,0.852,0.0,0.8571428571428572,0.714,6,13,115.1,118.0
Jett Howard,ORL,22.0,N/A,16,10.2,5.3,1.1,0.7,0.1,0.2,4.4,0.3,0.1,0.437,0.37,0.5568181818181818,1.0,9,7,117.8,113.39999999999999
Jevon Carter,CHI,30.0,N/A,14,14.3,6.9,1.4,1.2,0.8,0.0,5.4,0.7,0.6,0.408,0.421,0.5648148148148149,1.0,3,11,117.3,122.6
Jimmy Butler III,GSW,36.0,N/A,21,30.7,19.5,5.7,5.0,1.6,0.2,11.5,7.8,1.4,0.519,0.465,0.5652173913043478,0.848,12,9,113.5,111.7
Joan Beringer,MIN,19.0,N/A,9,4.1,2.0,1.3,0.0,0.1,0.2,1.2,0.3,0.2,0.727,0.0,0.75,0.667,6,3,119.6,114.69999999999999
Jock Landale,MEM,30.0,N/A,24,21.4,10.9,5.4,1.5,0.5,0.4,8.0,2.0,1.1,0.531,0.431,0.6,0.673,11,13,113.6,115.3
Joe Ingles,MIN,38.0,N/A,8,2.9,0.0,0.0,0.8,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4,4,119.6,114.69999999999999
Joel Embiid,PHI,31.0,N/A,9,25.1,18.2,5.6,3.0,0.8,1.3,15.0,5.9,2.3,0.407,0.214,0.44,0.849,5,4,116.9,116.10000000000001
John Collins,LAC,28.0,N/A,24,27.1,12.2,4.8,0.7,0.8,0.6,9.5,2.3,1.5,0.498,0.31,0.5526315789473685,0.796,6,18,111.6,116.8
John Konchar,MEM,29.0,N/A,22,13.0,3.0,2.7,1.2,0.9,0.3,2.3,0.4,0.3,0.51,0.321,0.6086956521739131,0.667,11,11,113.6,115.3
Johni Broome,PHI,23.0,N/A,6,6.5,1.7,2.2,0.7,0.3,0.0,3.3,0.7,0.3,0.2,0.0,0.21212121212121213,0.5,3,3,116.9,116.10000000000001
Johnny Furphy,IND,21.0,N/A,6,13.3,2.2,1.8,0.2,0.7,0.0,2.0,0.0,0.8,0.417,0.429,0.525,0.0,3,3,111.3,118.89999999999999
Johnny Juzang,MIN,24.0,N/A,8,2.8,1.1,0.4,0.1,0.0,0.0,1.1,0.3,0.1,0.333,0.286,0.5,0.5,6,2,119.6,114.69999999999999
Jonas Valančiūnas,DEN,33.0,N/A,23,12.5,8.2,4.6,1.2,0.2,0.6,5.8,1.9,1.0,0.567,0.222,0.5775862068965517,0.773,17,6,125.0,116.3
Jonathan Isaac,ORL,28.0,N/A,22,10.3,2.8,3.1,0.1,0.3,0.5,2.3,1.0,0.4,0.46,0.208,0.47826086956521746,0.5,13,9,117.8,113.39999999999999
Jonathan Kuminga,GSW,23.0,N/A,17,25.6,12.4,6.3,2.6,0.3,0.4,10.4,3.2,2.5,0.438,0.32,0.47596153846153844,0.741,9,8,113.5,111.7
Jonathan Mogbo,TOR,24.0,N/A,11,4.6,1.2,1.4,0.5,0.1,0.3,1.1,0.1,0.1,0.5,0.0,0.45454545454545453,1.0,3,8,115.8,113.89999999999999
Jordan Clarkson,NYK,33.0,N/A,24,20.1,9.9,2.0,1.7,0.4,0.2,8.6,1.7,1.2,0.43,0.289,0.5,0.8,17,7,120.5,111.9
Jordan Goodwin,PHX,27.0,N/A,21,20.5,8.5,4.2,2.0,1.4,0.1,7.8,0.6,1.1,0.433,0.355,0.5192307692307693,0.75,13,8,115.9,113.5
Jordan Hawkins,NOP,23.0,N/A,21,15.0,5.2,1.7,0.9,0.1,0.1,5.6,0.6,0.5,0.342,0.333,0.4285714285714286,0.667,2,19,113.0,123.6
Jordan McLaughlin,SAS,29.0,N/A,8,9.2,3.5,0.8,1.3,0.9,0.0,3.0,0.4,0.3,0.417,0.333,0.5333333333333333,1.0,6,2,119.6,115.3
Jordan Miller,LAC,25.0,N/A,4,13.6,8.5,2.3,0.8,0.5,0.0,4.8,3.0,0.8,0.474,0.5,0.6145833333333333,0.917,1,3,111.6,116.8
Jordan Poole,NOP,26.0,N/A,7,30.3,17.3,1.7,3.4,0.3,0.3,14.1,4.6,2.1,0.354,0.339,0.45744680851063835,0.969,1,6,113.0,123.6
Jordan Walsh,BOS,21.0,N/A,20,21.0,7.1,4.8,1.1,1.2,0.6,4.7,1.1,0.6,0.581,0.457,0.6595744680851063,0.81,14,6,117.3,110.6
Jose Alvarado,NOP,27.0,N/A,24,22.5,9.1,2.8,3.0,1.1,0.1,7.5,0.8,1.3,0.447,0.386,0.56,0.833,3,21,113.0,123.6
Josh Giddey,CHI,23.0,N/A,21,34.1,20.3,9.5,8.9,1.0,0.5,14.8,6.0,3.7,0.474,0.396,0.5337837837837838,0.74,9,12,117.3,122.6
Josh Hart,NYK,30.0,N/A,23,29.6,12.4,7.8,5.0,1.3,0.3,9.0,2.0,2.0,0.512,0.398,0.6,0.822,16,7,120.5,111.9
Josh Minott,BOS,23.0,N/A,23,19.1,7.3,4.7,1.3,0.7,0.5,5.2,1.0,0.7,0.513,0.446,0.6442307692307693,0.773,15,8,117.3,110.6
Josh Okogie,HOU,27.0,N/A,21,20.9,6.5,2.9,1.0,1.4,0.2,4.9,1.5,0.9,0.447,0.4,0.5510204081632653,0.742,15,6,120.9,110.30000000000001
Jrue Holiday,POR,35.0,N/A,12,33.4,16.7,5.3,8.3,1.6,0.3,13.8,2.1,2.9,0.446,0.365,0.5434782608695652,0.84,6,6,117.4,120.7
Julian Champagnie,SAS,24.0,N/A,23,28.8,11.2,5.3,1.4,1.0,0.4,8.4,2.1,1.0,0.42,0.378,0.5535714285714286,0.837,16,7,119.6,115.3
Julian Phillips,CHI,22.0,N/A,21,10.4,3.0,1.4,0.3,0.5,0.2,2.6,0.3,0.1,0.436,0.3,0.5,0.833,8,13,117.3,122.6
Julian Strawther,DEN,23.0,N/A,9,7.9,3.7,1.6,0.4,0.0,0.1,3.3,1.4,0.3,0.367,0.125,0.393939393939394,0.692,9,0,125.0,116.3
Julius Randle,MIN,31.0,N/A,24,33.7,22.9,7.1,6.0,1.0,0.2,15.5,6.9,2.7,0.499,0.356,0.5548387096774193,0.83,15,9,119.6,114.69999999999999
Justin Champagnie,WAS,24.0,N/A,20,13.1,4.7,3.8,0.9,0.7,0.4,3.5,1.5,0.4,0.443,0.24,0.5,0.862,2,18,112.4,128.3
Justin Edwards,PHI,21.0,N/A,20,17.2,6.2,1.9,1.4,0.7,0.3,5.4,0.6,0.9,0.407,0.362,0.5277777777777778,0.909,13,7,116.9,116.10000000000001
Jusuf Nurkić,UTA,31.0,N/A,22,24.1,8.2,9.2,3.7,1.5,0.4,7.4,2.4,2.5,0.451,0.219,0.4662162162162162,0.519,7,15,117.6,125.8
KJ Simpson,CHA,23.0,N/A,11,15.1,5.8,2.2,2.4,1.0,0.0,5.8,1.3,1.6,0.359,0.333,0.4310344827586207,0.643,3,8,114.2,118.3
Karl-Anthony Towns,NYK,30.0,N/A,23,33.0,22.1,12.0,3.3,0.8,0.8,15.6,6.6,2.5,0.464,0.355,0.5224358974358975,0.881,16,7,120.5,111.9
Karlo Matković,NOP,24.0,N/A,15,11.6,4.9,2.7,0.9,0.1,0.5,3.1,0.5,0.5,0.717,0.5,0.7580645161290323,0.375,2,13,113.0,123.6
Kasparas Jakučionis,MIA,19.0,N/A,1,0.9,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,121.7,118.2
Kawhi Leonard,LAC,34.0,N/A,14,31.7,25.4,5.5,3.0,1.9,0.4,18.4,5.1,1.9,0.492,0.39,0.5570652173913044,0.972,4,10,111.6,116.8
Keaton Wallace,ATL,26.0,N/A,23,14.6,4.3,1.5,2.8,0.7,0.1,3.9,0.4,0.7,0.4,0.404,0.5384615384615385,0.5,13,10,118.0,116.4
Keegan Murray,SAC,25.0,N/A,9,37.8,15.4,7.6,1.7,1.8,1.3,13.9,2.4,0.8,0.432,0.264,0.48920863309352514,0.773,3,6,111.4,122.0
Kel'el Ware,MIA,21.0,N/A,25,24.1,11.3,10.1,0.6,1.0,1.3,8.1,2.0,1.1,0.537,0.421,0.6049382716049383,0.816,14,11,121.7,118.2
Keldon Johnson,SAS,26.0,N/A,23,24.1,13.0,6.5,1.8,0.7,0.1,8.7,2.8,1.0,0.575,0.322,0.6206896551724139,0.766,16,7,119.6,115.3
Kelly Olynyk,SAS,34.0,N/A,13,11.1,4.7,2.5,1.5,0.5,0.0,3.0,1.5,0.8,0.513,0.35,0.5833333333333334,0.737,9,4,119.6,115.3
Kelly Oubre Jr.,PHI,30.0,N/A,12,34.8,16.8,5.1,1.3,1.1,0.8,12.4,3.2,1.5,0.497,0.343,0.5766129032258065,0.789,7,5,116.9,116.10000000000001
Kenrich Williams,OKC,31.0,N/A,6,15.8,6.2,3.0,2.2,0.0,0.0,4.2,1.0,0.7,0.56,0.545,0.6666666666666666,0.5,6,0,123.0,106.8
Kentavious Caldwell-Pope,MEM,32.0,N/A,24,21.9,7.6,2.3,3.1,0.7,0.2,6.5,1.6,1.3,0.382,0.346,0.47692307692307695,0.921,11,13,113.6,115.3
Keon Ellis,SAC,25.0,N/A,23,16.3,5.2,1.3,0.5,1.1,0.4,4.4,0.7,0.4,0.406,0.392,0.5568181818181818,0.563,5,18,111.4,122.0
Keshad Johnson,MIA,24.0,N/A,9,11.7,3.9,3.1,0.1,0.3,0.4,3.9,1.2,0.3,0.343,0.267,0.38461538461538464,0.636,6,3,121.7,118.2
Kevin Durant,HOU,37.0,N/A,19,35.3,25.3,4.8,3.9,1.0,0.6,17.4,6.7,2.8,0.505,0.384,0.5545977011494253,0.89,13,6,120.9,110.30000000000001
Kevin Huerter,CHI,27.0,N/A,19,24.1,11.9,3.3,2.4,0.8,0.7,9.6,1.7,1.3,0.473,0.3,0.5416666666666667,0.848,9,10,117.3,122.6
Kevin Love,UTA,37.0,N/A,14,14.6,5.5,4.3,1.8,0.3,0.4,4.1,1.3,0.8,0.414,0.349,0.5487804878048781,0.778,4,10,117.6,125.8
Kevin McCullar Jr.,NYK,24.0,N/A,1,1.2,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,0.0,1,0,120.5,111.9
Kevin Porter Jr.,MIL,25.0,N/A,6,28.9,21.8,3.5,5.8,2.2,0.3,12.8,4.5,2.3,0.558,0.618,0.6992187499999999,0.889,3,3,115.1,118.0
Kevon Looney,NOP,29.0,N/A,12,12.9,2.7,3.9,1.4,0.3,0.4,2.8,0.5,0.5,0.424,0.143,0.44642857142857145,0.5,2,10,113.0,123.6
Keyonte George,UTA,22.0,N/A,23,33.4,22.2,3.9,6.7,0.8,0.3,16.0,6.9,3.6,0.436,0.329,0.503125,0.905,8,15,117.6,125.8
Khaman Maluach,PHX,19.0,N/A,11,4.5,1.4,0.8,0.1,0.0,0.4,0.9,0.7,0.5,0.4,0.0,0.4444444444444445,0.875,6,5,115.9,113.5
Khris Middleton,WAS,34.0,N/A,16,25.8,10.4,4.2,3.5,0.7,0.4,8.5,1.6,1.8,0.493,0.35,0.5470588235294118,0.731,3,13,112.4,128.3
